Kode,Wilayah,Tipe,Tahun,IPM,PDRB_Triliun,Pertumbuhan_PDRB,Kemiskinan_Persen,Pengangguran_Persen,Penduduk_Ribu,NTP,Inflasi_Persen
7207,Kab. Buol,Kabupaten,2018,66.46,4.61,3.96,15.66,3.76,143.4,106.0,2.6
7207,Kab. Buol,Kabupaten,2019,66.88,4.8,4.08,15.38,3.68,144.5,106.9,2.8
7207,Kab. Buol,Kabupaten,2020,67.1,4.69,-2.22,15.6,4.2,145.7,106.8,2.0
7207,Kab. Buol,Kabupaten,2021,67.72,5.03,7.27,14.82,3.52,146.9,107.7,2.6
7207,Kab. Buol,Kabupaten,2022,68.14,5.4,4.09,14.54,3.44,148.0,107.6,4.0
7207,Kab. Buol,Kabupaten,2023,68.56,5.61,3.98,14.26,3.36,149.2,108.5,3.0
7207,Kab. Buol,Kabupaten,2024,68.98,5.84,4.08,13.98,3.28,150.4,108.4,2.6
7207,Kab. Buol,Kabupaten,2025,69.4,6.07,4.02,13.7,3.2,151.6,109.3,2.8
7208,Kab. Parigi Moutong,Kabupaten,2015,63.1,11.5,4.8,17.2,3.4,415.0,108.8,2.6
7208,Kab. Parigi Moutong,Kabupaten,2016,63.51,12.05,4.78,16.91,3.31,418.3,108.7,2.8
7208,Kab. Parigi Moutong,Kabupaten,2017,63.92,12.63,4.8,16.62,3.22,421.7,109.6,3.0
7208,Kab. Parigi Moutong,Kabupaten,2018,64.33,13.24,4.83,16.33,3.13,425.0,109.5,2.6
7208,Kab. Parigi Moutong,Kabupaten,2019,64.74,13.87,4.78,16.04,3.04,428.4,110.4,2.8
7208,Kab. Parigi Moutong,Kabupaten,2020,64.95,13.67,-1.46,16.25,3.55,431.9,110.3,2.0
7208,Kab. Parigi Moutong,Kabupaten,2021,65.56,14.78,8.15,15.46,2.86,435.3,111.2,2.6
7208,Kab. Parigi Moutong,Kabupaten,2022,65.97,15.97,4.82,15.17,2.77,438.8,111.1,4.0
7208,Kab. Parigi Moutong,Kabupaten,2023,66.38,16.73,4.78,14.88,2.68,442.3,112.0,3.0
7208,Kab. Parigi Moutong,Kabupaten,2024,66.79,17.54,4.82,14.59,2.59,445.9,111.9,2.6
7208,Kab. Parigi Moutong,Kabupaten,2025,67.2,18.38,4.81,14.3,2.5,449.4,112.8,2.8
7209,Kab. Tojo Una-Una,Kabupaten,2015,62.0,4.8,4.2,18.5,3.6,150.0,104.8,2.6
7209,Kab. Tojo Una-Una,Kabupaten,2016,62.42,5.0,4.17,18.24,3.51,151.6,104.7,2.8
7209,Kab. Tojo Una-Una,Kabupaten,2017,62.84,5.21,4.17,17.98,3.42,153.3,105.6,3.0
7209,Kab. Tojo Una-Una,Kabupaten,2018,63.26,5.43,4.19,17.72,3.33,155.0,105.5,2.6
7209,Kab. Tojo Una-Una,Kabupaten,2019,63.68,5.66,4.23,17.46,3.24,156.7,106.4,2.8
7209,Kab. Tojo Una-Una,Kabupaten,2020,63.9,5.54,-2.1,17.7,3.75,158.4,106.3,2.0
7209,Kab. Tojo Una-Una,Kabupaten,2021,64.52,5.96,7.53,16.94,3.06,160.2,107.2,2.6
7209,Kab. Tojo Una-Una,Kabupaten,2022,64.94,6.4,4.17,16.68,2.97,161.9,107.1,4.0
7209,Kab. Tojo Una-Una,Kabupaten,2023,65.36,6.67,4.19,16.42,2.88,163.7,108.0,3.0
7209,Kab. Tojo Una-Una,Kabupaten,2024,65.78,6.95,4.18,16.16,2.79,165.5,107.9,2.6
7209,Kab. Tojo Una-Una,Kabupaten,2025,66.2,7.24,4.16,15.9,2.7,167.3,108.8,2.8
7210,Kab. Sigi,Kabupaten,2015,65.5,6.2,4.9,14.8,3.5,240.0,110.1,2.6
7210,Kab. Sigi,Kabupaten,2016,65.94,6.5,4.84,14.52,3.4,242.4,110.0,2.8
7210,Kab. Sigi,Kabupaten,2017,66.38,6.82,4.86,14.24,3.3,244.8,110.9,3.0
7210,Kab. Sigi,Kabupaten,2018,66.82,7.16,4.95,13.96,3.2,247.3,110.8,2.6
7210,Kab. Sigi,Kabupaten,2019,67.26,7.51,4.94,13.68,3.1,249.7,111.7,2.8
7210,Kab. Sigi,Kabupaten,2020,67.5,7.4,-1.43,13.9,3.6,252.2,111.6,2.0
7210,Kab. Sigi,Kabupaten,2021,68.14,8.01,8.2,13.12,2.9,254.8,112.5,2.6
7210,Kab. Sigi,Kabupaten,2022,68.58,8.67,4.95,12.84,2.8,257.3,112.4,4.0
7210,Kab. Sigi,Kabupaten,2023,69.02,9.09,4.89,12.56,2.7,259.9,113.3,3.0
7210,Kab. Sigi,Kabupaten,2024,69.46,9.54,4.94,12.28,2.6,262.5,113.2,2.6
7210,Kab. Sigi,Kabupaten,2025,69.9,10.0,4.86,12.0,2.5,265.1,114.1,2.8
7211,Kab. Banggai Laut,Kabupaten,2015,62.2,2.1,4.1,16.8,3.1,66.0,103.8,2.6
7211,Kab. Banggai Laut,Kabupaten,2016,62.63,2.19,4.29,16.51,3.02,66.7,103.7,2.8
7211,Kab. Banggai Laut,Kabupaten,2017,63.06,2.28,4.3,16.22,2.94,67.3,104.6,3.0
7211,Kab. Banggai Laut,Kabupaten,2018,63.49,2.37,4.14,15.93,2.86,68.0,104.5,2.6
7211,Kab. Banggai Laut,Kabupaten,2019,63.92,2.47,4.26,15.64,2.78,68.7,105.4,2.8
7211,Kab. Banggai Laut,Kabupaten,2020,64.15,2.41,-2.28,15.85,3.3,69.4,105.3,2.0
7211,Kab. Banggai Laut,Kabupaten,2021,64.78,2.59,7.32,15.06,2.62,70.1,106.2,2.6
7211,Kab. Banggai Laut,Kabupaten,2022,65.21,2.78,4.02,14.77,2.54,70.8,106.1,4.0
7211,Kab. Banggai Laut,Kabupaten,2023,65.64,2.9,4.24,14.48,2.46,71.5,107.0,3.0
7211,Kab. Banggai Laut,Kabupaten,2024,66.07,3.01,3.93,14.19,2.38,72.2,106.9,2.6
7211,Kab. Banggai Laut,Kabupaten,2025,66.5,3.14,4.15,13.9,2.3,72.9,107.8,2.8
7212,Kab. Morowali Utara,Kabupaten,2015,65.0,8.5,15.5,16.0,3.7,110.0,112.3,2.6
7212,Kab. Morowali Utara,Kabupaten,2016,65.54,9.82,15.53,15.68,3.61,113.4,112.2,2.8
7212,Kab. Morowali Utara,Kabupaten,2017,66.08,11.34,15.51,15.36,3.52,116.9,113.1,3.0
7212,Kab. Morowali Utara,Kabupaten,2018,66.62,13.1,15.53,15.04,3.43,120.6,113.0,2.6
7212,Kab. Morowali Utara,Kabupaten,2019,67.16,15.13,15.52,14.72,3.34,124.3,113.9,2.8
7212,Kab. Morowali Utara,Kabupaten,2020,67.5,16.42,8.55,14.9,3.85,128.1,113.8,2.0
7212,Kab. Morowali Utara,Kabupaten,2021,68.24,19.57,19.16,14.08,3.16,132.1,114.7,2.6
7212,Kab. Morowali Utara,Kabupaten,2022,68.78,23.31,15.51,13.76,3.07,136.2,114.6,4.0
7212,Kab. Morowali Utara,Kabupaten,2023,69.32,26.92,15.5,13.44,2.98,140.4,115.5,3.0
7212,Kab. Morowali Utara,Kabupaten,2024,69.86,31.09,15.49,13.12,2.89,144.8,115.4,2.6
7212,Kab. Morowali Utara,Kabupaten,2025,70.4,35.91,15.49,12.8,2.8,149.3,116.3,2.8
