Kode,Wilayah,Tipe,Tahun,IPM,PDRB_Triliun,Pertumbuhan_PDRB,Kemiskinan_Persen,Pengangguran_Persen,Penduduk_Ribu,NTP,Inflasi_Persen,IPM_Lag1,IPM_Delta,Kemiskinan_Lag1,Kemiskinan_Delta,PDRB_Lag1,TPT_Lag1
7201,Kab. Banggai,Kabupaten,2016,68.2,17.25,6.48,9.29,4.01,342.7,106.2,2.8,67.8,0.4,9.5,-0.21,16.2,4.1
7201,Kab. Banggai,Kabupaten,2017,68.6,18.37,6.47,9.08,3.92,345.5,107.1,3.0,68.2,0.4,9.29,-0.21,17.25,4.01
7201,Kab. Banggai,Kabupaten,2018,69.0,19.57,6.51,8.87,3.83,348.2,107.0,2.6,68.6,0.4,9.08,-0.21,18.37,3.92
7201,Kab. Banggai,Kabupaten,2019,69.4,20.84,6.5,8.66,3.74,351.0,107.9,2.8,69.0,0.4,8.87,-0.21,19.57,3.83
7201,Kab. Banggai,Kabupaten,2020,69.6,20.86,0.09,8.95,4.25,353.8,107.8,2.0,69.4,0.2,8.66,0.29,20.84,3.74
7201,Kab. Banggai,Kabupaten,2021,70.2,22.93,9.9,8.24,3.56,356.6,108.7,2.6,69.6,0.6,8.95,-0.71,20.86,4.25
7201,Kab. Banggai,Kabupaten,2022,70.6,25.17,6.48,8.03,3.47,359.5,108.6,4.0,70.2,0.4,8.24,-0.21,22.93,3.56
7201,Kab. Banggai,Kabupaten,2023,71.0,26.81,6.5,7.82,3.38,362.4,109.5,3.0,70.6,0.4,8.03,-0.21,25.17,3.47
7201,Kab. Banggai,Kabupaten,2024,71.4,28.55,6.49,7.61,3.29,365.3,109.4,2.6,71.0,0.4,7.82,-0.21,26.81,3.38
7201,Kab. Banggai,Kabupaten,2025,71.8,30.41,6.5,7.4,3.2,368.2,110.3,2.8,71.4,0.4,7.61,-0.21,28.55,3.29
7202,Kab. Banggai Kepulauan,Kabupaten,2015,62.5,3.8,4.2,15.6,3.6,115.0,103.3,2.6,62.5,0.0,15.6,0.0,3.8,3.6
7202,Kab. Banggai Kepulauan,Kabupaten,2016,62.93,3.96,4.21,15.37,3.53,115.8,103.2,2.8,62.5,0.43,15.6,-0.23,3.8,3.6
7202,Kab. Banggai Kepulauan,Kabupaten,2017,63.36,4.13,4.3,15.14,3.46,116.6,104.1,3.0,62.93,0.43,15.37,-0.23,3.96,3.53
7202,Kab. Banggai Kepulauan,Kabupaten,2018,63.79,4.3,4.22,14.91,3.39,117.4,104.0,2.6,63.36,0.43,15.14,-0.23,4.13,3.46
7202,Kab. Banggai Kepulauan,Kabupaten,2019,64.22,4.48,4.21,14.68,3.32,118.3,104.9,2.8,63.79,0.43,14.91,-0.23,4.3,3.39
7202,Kab. Banggai Kepulauan,Kabupaten,2020,64.45,4.39,-2.0,14.95,3.85,119.1,104.8,2.0,64.22,0.23,14.68,0.27,4.48,3.32
7202,Kab. Banggai Kepulauan,Kabupaten,2021,65.08,4.72,7.57,14.22,3.18,119.9,105.7,2.6,64.45,0.63,14.95,-0.73,4.39,3.85
7202,Kab. Banggai Kepulauan,Kabupaten,2022,65.51,5.07,4.24,13.99,3.11,120.8,105.6,4.0,65.08,0.43,14.22,-0.23,4.72,3.18
7202,Kab. Banggai Kepulauan,Kabupaten,2023,65.94,5.28,4.18,13.76,3.04,121.6,106.5,3.0,65.51,0.43,13.99,-0.23,5.07,3.11
7202,Kab. Banggai Kepulauan,Kabupaten,2024,66.37,5.5,4.14,13.53,2.97,122.5,106.4,2.6,65.94,0.43,13.76,-0.23,5.28,3.04
7202,Kab. Banggai Kepulauan,Kabupaten,2025,66.8,5.73,4.13,13.3,2.9,123.3,107.3,2.8,66.37,0.43,13.53,-0.23,5.5,2.97
7203,Kab. Morowali,Kabupaten,2015,68.2,14.5,16.5,16.4,4.5,125.0,110.3,2.6,68.2,0.0,16.4,0.0,14.5,4.5
7203,Kab. Morowali,Kabupaten,2016,68.76,16.89,16.48,15.98,4.4,129.5,110.2,2.8,68.2,0.56,16.4,-0.42,14.5,4.5
7203,Kab. Morowali,Kabupaten,2017,69.32,19.68,16.5,15.56,4.3,134.2,111.1,3.0,68.76,0.56,15.98,-0.42,16.89,4.4
7203,Kab. Morowali,Kabupaten,2018,69.88,22.93,16.52,15.14,4.2,139.0,111.0,2.6,69.32,0.56,15.56,-0.42,19.68,4.3
7203,Kab. Morowali,Kabupaten,2019,70.44,26.71,16.5,14.72,4.1,144.0,111.9,2.8,69.88,0.56,15.14,-0.42,22.93,4.2
7203,Kab. Morowali,Kabupaten,2020,70.8,29.25,9.51,14.8,4.6,149.2,111.8,2.0,70.44,0.36,14.72,0.08,26.71,4.1
7203,Kab. Morowali,Kabupaten,2021,71.56,35.16,20.21,13.88,3.9,154.5,112.7,2.6,70.8,0.76,14.8,-0.92,29.25,4.6
7203,Kab. Morowali,Kabupaten,2022,72.12,42.23,16.49,13.46,3.8,160.1,112.6,4.0,71.56,0.56,13.88,-0.42,35.16,3.9
7203,Kab. Morowali,Kabupaten,2023,72.68,49.2,16.5,13.04,3.7,165.9,113.5,3.0,72.12,0.56,13.46,-0.42,42.23,3.8
7203,Kab. Morowali,Kabupaten,2024,73.24,57.32,16.5,12.62,3.6,171.8,113.4,2.6,72.68,0.56,13.04,-0.42,49.2,3.7
7203,Kab. Morowali,Kabupaten,2025,73.8,66.78,16.51,12.2,3.5,178.0,114.3,2.8,73.24,0.56,12.62,-0.42,57.32,3.6
7204,Kab. Poso,Kabupaten,2015,68.5,9.2,4.5,17.8,3.8,235.0,107.8,2.6,68.5,0.0,17.8,0.0,9.2,3.8
7204,Kab. Poso,Kabupaten,2016,68.9,9.61,4.46,17.54,3.69,236.6,107.7,2.8,68.5,0.4,17.8,-0.26,9.2,3.8
7204,Kab. Poso,Kabupaten,2017,69.3,10.05,4.54,17.28,3.58,238.3,108.6,3.0,68.9,0.4,17.54,-0.26,9.61,3.69
7204,Kab. Poso,Kabupaten,2018,69.7,10.5,4.51,17.02,3.47,240.0,108.5,2.6,69.3,0.4,17.28,-0.26,10.05,3.58
7204,Kab. Poso,Kabupaten,2019,70.1,10.97,4.49,16.76,3.36,241.6,109.4,2.8,69.7,0.4,17.02,-0.26,10.5,3.47
7204,Kab. Poso,Kabupaten,2020,70.3,10.78,-1.74,17.0,3.85,243.3,109.3,2.0,70.1,0.2,16.76,0.24,10.97,3.36
7204,Kab. Poso,Kabupaten,2021,70.9,11.62,7.82,16.24,3.14,245.0,110.2,2.6,70.3,0.6,17.0,-0.76,10.78,3.85
7204,Kab. Poso,Kabupaten,2022,71.3,12.52,4.5,15.98,3.03,246.8,110.1,4.0,70.9,0.4,16.24,-0.26,11.62,3.14
7204,Kab. Poso,Kabupaten,2023,71.7,13.08,4.47,15.72,2.92,248.5,111.0,3.0,71.3,0.4,15.98,-0.26,12.52,3.03
7204,Kab. Poso,Kabupaten,2024,72.1,13.67,4.48,15.46,2.81,250.2,110.9,2.6,71.7,0.4,15.72,-0.26,13.08,2.92
7204,Kab. Poso,Kabupaten,2025,72.5,14.29,4.52,15.2,2.7,252.0,111.8,2.8,72.1,0.4,15.46,-0.26,13.67,2.81
7205,Kab. Donggala,Kabupaten,2015,63.4,7.5,4.1,19.2,4.2,285.0,104.5,2.6,63.4,0.0,19.2,0.0,7.5,4.2
7205,Kab. Donggala,Kabupaten,2016,63.77,7.81,4.13,18.93,4.1,287.3,104.4,2.8,63.4,0.37,19.2,-0.27,7.5,4.2
7205,Kab. Donggala,Kabupaten,2017,64.14,8.13,4.13,18.66,4.0,289.6,105.3,3.0,63.77,0.37,18.93,-0.27,7.81,4.1
7205,Kab. Donggala,Kabupaten,2018,64.51,8.46,4.09,18.39,3.9,291.9,105.2,2.6,64.14,0.37,18.66,-0.27,8.13,4.0
7205,Kab. Donggala,Kabupaten,2019,64.88,8.81,4.13,18.12,3.8,294.2,106.1,2.8,64.51,0.37,18.39,-0.27,8.46,3.9
7205,Kab. Donggala,Kabupaten,2020,65.05,8.62,-2.13,18.35,4.3,296.6,106.0,2.0,64.88,0.17,18.12,0.23,8.81,3.8
7205,Kab. Donggala,Kabupaten,2021,65.62,9.26,7.44,17.58,3.6,299.0,106.9,2.6,65.05,0.57,18.35,-0.77,8.62,4.3
7205,Kab. Donggala,Kabupaten,2022,65.99,9.94,4.14,17.31,3.5,301.3,106.8,4.0,65.62,0.37,17.58,-0.27,9.26,3.6
7205,Kab. Donggala,Kabupaten,2023,66.36,10.34,4.06,17.04,3.4,303.8,107.7,3.0,65.99,0.37,17.31,-0.27,9.94,3.5
7205,Kab. Donggala,Kabupaten,2024,66.73,10.77,4.12,16.77,3.3,306.2,107.6,2.6,66.36,0.37,17.04,-0.27,10.34,3.4
7205,Kab. Donggala,Kabupaten,2025,67.1,11.21,4.11,16.5,3.2,308.6,108.5,2.8,66.73,0.37,16.77,-0.27,10.77,3.3
7206,Kab. Tolitoli,Kabupaten,2015,63.8,6.8,4.3,15.2,3.9,215.0,106.1,2.6,63.8,0.0,15.2,0.0,6.8,3.9
7206,Kab. Tolitoli,Kabupaten,2016,64.16,7.09,4.26,14.97,3.81,216.5,106.0,2.8,63.8,0.36,15.2,-0.23,6.8,3.9
7206,Kab. Tolitoli,Kabupaten,2017,64.52,7.4,4.34,14.74,3.72,218.0,106.9,3.0,64.16,0.36,14.97,-0.23,7.09,3.81
7206,Kab. Tolitoli,Kabupaten,2018,64.88,7.72,4.36,14.51,3.63,219.5,106.8,2.6,64.52,0.36,14.74,-0.23,7.4,3.72
7206,Kab. Tolitoli,Kabupaten,2019,65.24,8.05,4.34,14.28,3.54,221.1,107.7,2.8,64.88,0.36,14.51,-0.23,7.72,3.63
7206,Kab. Tolitoli,Kabupaten,2020,65.4,7.89,-1.95,14.55,4.05,222.6,107.6,2.0,65.24,0.16,14.28,0.27,8.05,3.54
7206,Kab. Tolitoli,Kabupaten,2021,65.96,8.49,7.61,13.82,3.36,224.2,108.5,2.6,65.4,0.56,14.55,-0.73,7.89,4.05
7206,Kab. Tolitoli,Kabupaten,2022,66.32,9.13,4.29,13.59,3.27,225.8,108.4,4.0,65.96,0.36,13.82,-0.23,8.49,3.36
7206,Kab. Tolitoli,Kabupaten,2023,66.68,9.52,4.26,13.36,3.18,227.3,109.3,3.0,66.32,0.36,13.59,-0.23,9.13,3.27
7206,Kab. Tolitoli,Kabupaten,2024,67.04,9.93,4.27,13.13,3.09,228.9,109.2,2.6,66.68,0.36,13.36,-0.23,9.52,3.18
7206,Kab. Tolitoli,Kabupaten,2025,67.4,10.36,4.3,12.9,3.0,230.5,110.1,2.8,67.04,0.36,13.13,-0.23,9.93,3.09
7207,Kab. Buol,Kabupaten,2015,65.2,4.1,4.0,16.5,4.0,140.0,105.3,2.6,65.2,0.0,16.5,0.0,4.1,4.0
7207,Kab. Buol,Kabupaten,2016,65.62,4.26,3.9,16.22,3.92,141.1,105.2,2.8,65.2,0.42,16.5,-0.28,4.1,4.0
7207,Kab. Buol,Kabupaten,2017,66.04,4.43,3.89,15.94,3.84,142.2,106.1,3.0,65.62,0.42,16.22,-0.28,4.26,3.92
7207,Kab. Buol,Kabupaten,2018,66.46,4.61,3.96,15.66,3.76,143.4,106.0,2.6,66.04,0.42,15.94,-0.28,4.43,3.84
7207,Kab. Buol,Kabupaten,2019,66.88,4.8,4.08,15.38,3.68,144.5,106.9,2.8,66.46,0.42,15.66,-0.28,4.61,3.76
7207,Kab. Buol,Kabupaten,2020,67.1,4.69,-2.22,15.6,4.2,145.7,106.8,2.0,66.88,0.22,15.38,0.22,4.8,3.68
7207,Kab. Buol,Kabupaten,2021,67.72,5.03,7.27,14.82,3.52,146.9,107.7,2.6,67.1,0.62,15.6,-0.78,4.69,4.2
7207,Kab. Buol,Kabupaten,2022,68.14,5.4,4.09,14.54,3.44,148.0,107.6,4.0,67.72,0.42,14.82,-0.28,5.03,3.52
7207,Kab. Buol,Kabupaten,2023,68.56,5.61,3.98,14.26,3.36,149.2,108.5,3.0,68.14,0.42,14.54,-0.28,5.4,3.44
7207,Kab. Buol,Kabupaten,2024,68.98,5.84,4.08,13.98,3.28,150.4,108.4,2.6,68.56,0.42,14.26,-0.28,5.61,3.36
7207,Kab. Buol,Kabupaten,2025,69.4,6.07,4.02,13.7,3.2,151.6,109.3,2.8,68.98,0.42,13.98,-0.28,5.84,3.28
7208,Kab. Parigi Moutong,Kabupaten,2015,63.1,11.5,4.8,17.2,3.4,415.0,108.8,2.6,63.1,0.0,17.2,0.0,11.5,3.4
7208,Kab. Parigi Moutong,Kabupaten,2016,63.51,12.05,4.78,16.91,3.31,418.3,108.7,2.8,63.1,0.41,17.2,-0.29,11.5,3.4
7208,Kab. Parigi Moutong,Kabupaten,2017,63.92,12.63,4.8,16.62,3.22,421.7,109.6,3.0,63.51,0.41,16.91,-0.29,12.05,3.31
7208,Kab. Parigi Moutong,Kabupaten,2018,64.33,13.24,4.83,16.33,3.13,425.0,109.5,2.6,63.92,0.41,16.62,-0.29,12.63,3.22
7208,Kab. Parigi Moutong,Kabupaten,2019,64.74,13.87,4.78,16.04,3.04,428.4,110.4,2.8,64.33,0.41,16.33,-0.29,13.24,3.13
7208,Kab. Parigi Moutong,Kabupaten,2020,64.95,13.67,-1.46,16.25,3.55,431.9,110.3,2.0,64.74,0.21,16.04,0.21,13.87,3.04
7208,Kab. Parigi Moutong,Kabupaten,2021,65.56,14.78,8.15,15.46,2.86,435.3,111.2,2.6,64.95,0.61,16.25,-0.79,13.67,3.55
7208,Kab. Parigi Moutong,Kabupaten,2022,65.97,15.97,4.82,15.17,2.77,438.8,111.1,4.0,65.56,0.41,15.46,-0.29,14.78,2.86
7208,Kab. Parigi Moutong,Kabupaten,2023,66.38,16.73,4.78,14.88,2.68,442.3,112.0,3.0,65.97,0.41,15.17,-0.29,15.97,2.77
7208,Kab. Parigi Moutong,Kabupaten,2024,66.79,17.54,4.82,14.59,2.59,445.9,111.9,2.6,66.38,0.41,14.88,-0.29,16.73,2.68
7208,Kab. Parigi Moutong,Kabupaten,2025,67.2,18.38,4.81,14.3,2.5,449.4,112.8,2.8,66.79,0.41,14.59,-0.29,17.54,2.59
7209,Kab. Tojo Una-Una,Kabupaten,2015,62.0,4.8,4.2,18.5,3.6,150.0,104.8,2.6,62.0,0.0,18.5,0.0,4.8,3.6
7209,Kab. Tojo Una-Una,Kabupaten,2016,62.42,5.0,4.17,18.24,3.51,151.6,104.7,2.8,62.0,0.42,18.5,-0.26,4.8,3.6
7209,Kab. Tojo Una-Una,Kabupaten,2017,62.84,5.21,4.17,17.98,3.42,153.3,105.6,3.0,62.42,0.42,18.24,-0.26,5.0,3.51
7209,Kab. Tojo Una-Una,Kabupaten,2018,63.26,5.43,4.19,17.72,3.33,155.0,105.5,2.6,62.84,0.42,17.98,-0.26,5.21,3.42
7209,Kab. Tojo Una-Una,Kabupaten,2019,63.68,5.66,4.23,17.46,3.24,156.7,106.4,2.8,63.26,0.42,17.72,-0.26,5.43,3.33
7209,Kab. Tojo Una-Una,Kabupaten,2020,63.9,5.54,-2.1,17.7,3.75,158.4,106.3,2.0,63.68,0.22,17.46,0.24,5.66,3.24
7209,Kab. Tojo Una-Una,Kabupaten,2021,64.52,5.96,7.53,16.94,3.06,160.2,107.2,2.6,63.9,0.62,17.7,-0.76,5.54,3.75
7209,Kab. Tojo Una-Una,Kabupaten,2022,64.94,6.4,4.17,16.68,2.97,161.9,107.1,4.0,64.52,0.42,16.94,-0.26,5.96,3.06
7209,Kab. Tojo Una-Una,Kabupaten,2023,65.36,6.67,4.19,16.42,2.88,163.7,108.0,3.0,64.94,0.42,16.68,-0.26,6.4,2.97
7209,Kab. Tojo Una-Una,Kabupaten,2024,65.78,6.95,4.18,16.16,2.79,165.5,107.9,2.6,65.36,0.42,16.42,-0.26,6.67,2.88
7209,Kab. Tojo Una-Una,Kabupaten,2025,66.2,7.24,4.16,15.9,2.7,167.3,108.8,2.8,65.78,0.42,16.16,-0.26,6.95,2.79
7210,Kab. Sigi,Kabupaten,2015,65.5,6.2,4.9,14.8,3.5,240.0,110.1,2.6,65.5,0.0,14.8,0.0,6.2,3.5
7210,Kab. Sigi,Kabupaten,2016,65.94,6.5,4.84,14.52,3.4,242.4,110.0,2.8,65.5,0.44,14.8,-0.28,6.2,3.5
7210,Kab. Sigi,Kabupaten,2017,66.38,6.82,4.86,14.24,3.3,244.8,110.9,3.0,65.94,0.44,14.52,-0.28,6.5,3.4
7210,Kab. Sigi,Kabupaten,2018,66.82,7.16,4.95,13.96,3.2,247.3,110.8,2.6,66.38,0.44,14.24,-0.28,6.82,3.3
7210,Kab. Sigi,Kabupaten,2019,67.26,7.51,4.94,13.68,3.1,249.7,111.7,2.8,66.82,0.44,13.96,-0.28,7.16,3.2
7210,Kab. Sigi,Kabupaten,2020,67.5,7.4,-1.43,13.9,3.6,252.2,111.6,2.0,67.26,0.24,13.68,0.22,7.51,3.1
7210,Kab. Sigi,Kabupaten,2021,68.14,8.01,8.2,13.12,2.9,254.8,112.5,2.6,67.5,0.64,13.9,-0.78,7.4,3.6
7210,Kab. Sigi,Kabupaten,2022,68.58,8.67,4.95,12.84,2.8,257.3,112.4,4.0,68.14,0.44,13.12,-0.28,8.01,2.9
7210,Kab. Sigi,Kabupaten,2023,69.02,9.09,4.89,12.56,2.7,259.9,113.3,3.0,68.58,0.44,12.84,-0.28,8.67,2.8
7210,Kab. Sigi,Kabupaten,2024,69.46,9.54,4.94,12.28,2.6,262.5,113.2,2.6,69.02,0.44,12.56,-0.28,9.09,2.7
7210,Kab. Sigi,Kabupaten,2025,69.9,10.0,4.86,12.0,2.5,265.1,114.1,2.8,69.46,0.44,12.28,-0.28,9.54,2.6
7211,Kab. Banggai Laut,Kabupaten,2015,62.2,2.1,4.1,16.8,3.1,66.0,103.8,2.6,62.2,0.0,16.8,0.0,2.1,3.1
7211,Kab. Banggai Laut,Kabupaten,2016,62.63,2.19,4.29,16.51,3.02,66.7,103.7,2.8,62.2,0.43,16.8,-0.29,2.1,3.1
7211,Kab. Banggai Laut,Kabupaten,2017,63.06,2.28,4.3,16.22,2.94,67.3,104.6,3.0,62.63,0.43,16.51,-0.29,2.19,3.02
7211,Kab. Banggai Laut,Kabupaten,2018,63.49,2.37,4.14,15.93,2.86,68.0,104.5,2.6,63.06,0.43,16.22,-0.29,2.28,2.94
7211,Kab. Banggai Laut,Kabupaten,2019,63.92,2.47,4.26,15.64,2.78,68.7,105.4,2.8,63.49,0.43,15.93,-0.29,2.37,2.86
7211,Kab. Banggai Laut,Kabupaten,2020,64.15,2.41,-2.28,15.85,3.3,69.4,105.3,2.0,63.92,0.23,15.64,0.21,2.47,2.78
7211,Kab. Banggai Laut,Kabupaten,2021,64.78,2.59,7.32,15.06,2.62,70.1,106.2,2.6,64.15,0.63,15.85,-0.79,2.41,3.3
7211,Kab. Banggai Laut,Kabupaten,2022,65.21,2.78,4.02,14.77,2.54,70.8,106.1,4.0,64.78,0.43,15.06,-0.29,2.59,2.62
7211,Kab. Banggai Laut,Kabupaten,2023,65.64,2.9,4.24,14.48,2.46,71.5,107.0,3.0,65.21,0.43,14.77,-0.29,2.78,2.54
7211,Kab. Banggai Laut,Kabupaten,2024,66.07,3.01,3.93,14.19,2.38,72.2,106.9,2.6,65.64,0.43,14.48,-0.29,2.9,2.46
7211,Kab. Banggai Laut,Kabupaten,2025,66.5,3.14,4.15,13.9,2.3,72.9,107.8,2.8,66.07,0.43,14.19,-0.29,3.01,2.38
7212,Kab. Morowali Utara,Kabupaten,2015,65.0,8.5,15.5,16.0,3.7,110.0,112.3,2.6,65.0,0.0,16.0,0.0,8.5,3.7
7212,Kab. Morowali Utara,Kabupaten,2016,65.54,9.82,15.53,15.68,3.61,113.4,112.2,2.8,65.0,0.54,16.0,-0.32,8.5,3.7
7212,Kab. Morowali Utara,Kabupaten,2017,66.08,11.34,15.51,15.36,3.52,116.9,113.1,3.0,65.54,0.54,15.68,-0.32,9.82,3.61
7212,Kab. Morowali Utara,Kabupaten,2018,66.62,13.1,15.53,15.04,3.43,120.6,113.0,2.6,66.08,0.54,15.36,-0.32,11.34,3.52
7212,Kab. Morowali Utara,Kabupaten,2019,67.16,15.13,15.52,14.72,3.34,124.3,113.9,2.8,66.62,0.54,15.04,-0.32,13.1,3.43
7212,Kab. Morowali Utara,Kabupaten,2020,67.5,16.42,8.55,14.9,3.85,128.1,113.8,2.0,67.16,0.34,14.72,0.18,15.13,3.34
7212,Kab. Morowali Utara,Kabupaten,2021,68.24,19.57,19.16,14.08,3.16,132.1,114.7,2.6,67.5,0.74,14.9,-0.82,16.42,3.85
7212,Kab. Morowali Utara,Kabupaten,2022,68.78,23.31,15.51,13.76,3.07,136.2,114.6,4.0,68.24,0.54,14.08,-0.32,19.57,3.16
7212,Kab. Morowali Utara,Kabupaten,2023,69.32,26.92,15.5,13.44,2.98,140.4,115.5,3.0,68.78,0.54,13.76,-0.32,23.31,3.07
7212,Kab. Morowali Utara,Kabupaten,2024,69.86,31.09,15.49,13.12,2.89,144.8,115.4,2.6,69.32,0.54,13.44,-0.32,26.92,2.98
7212,Kab. Morowali Utara,Kabupaten,2025,70.4,35.91,15.49,12.8,2.8,149.3,116.3,2.8,69.86,0.54,13.12,-0.32,31.09,2.89
