Kode,Wilayah,Tahun,PDRB_Triliun
7210,Kab. Sigi,2020,7.4
7210,Kab. Sigi,2021,8.01
7210,Kab. Sigi,2022,8.67
7210,Kab. Sigi,2023,9.09
7210,Kab. Sigi,2024,9.54
7210,Kab. Sigi,2025,10.0
7211,Kab. Banggai Laut,2015,2.1
7211,Kab. Banggai Laut,2016,2.19
7211,Kab. Banggai Laut,2017,2.28
7211,Kab. Banggai Laut,2018,2.37
7211,Kab. Banggai Laut,2019,2.47
7211,Kab. Banggai Laut,2020,2.41
7211,Kab. Banggai Laut,2021,2.59
7211,Kab. Banggai Laut,2022,2.78
7211,Kab. Banggai Laut,2023,2.9
7211,Kab. Banggai Laut,2024,3.01
7211,Kab. Banggai Laut,2025,3.14
7212,Kab. Morowali Utara,2015,8.5
7212,Kab. Morowali Utara,2016,9.82
7212,Kab. Morowali Utara,2017,11.34
7212,Kab. Morowali Utara,2018,13.1
7212,Kab. Morowali Utara,2019,15.13
7212,Kab. Morowali Utara,2020,16.42
7212,Kab. Morowali Utara,2021,19.57
7212,Kab. Morowali Utara,2022,23.31
7212,Kab. Morowali Utara,2023,26.92
7212,Kab. Morowali Utara,2024,31.09
7212,Kab. Morowali Utara,2025,35.91
