Kode,Wilayah,Tahun,Inflasi_Persen
7207,Kab. Buol,2017,3.0
7207,Kab. Buol,2018,2.6
7207,Kab. Buol,2019,2.8
7207,Kab. Buol,2020,2.0
7207,Kab. Buol,2021,2.6
7207,Kab. Buol,2022,4.0
7207,Kab. Buol,2023,3.0
7207,Kab. Buol,2024,2.6
7207,Kab. Buol,2025,2.8
7208,Kab. Parigi Moutong,2015,2.6
7208,Kab. Parigi Moutong,2016,2.8
7208,Kab. Parigi Moutong,2017,3.0
7208,Kab. Parigi Moutong,2018,2.6
7208,Kab. Parigi Moutong,2019,2.8
7208,Kab. Parigi Moutong,2020,2.0
7208,Kab. Parigi Moutong,2021,2.6
7208,Kab. Parigi Moutong,2022,4.0
7208,Kab. Parigi Moutong,2023,3.0
7208,Kab. Parigi Moutong,2024,2.6
7208,Kab. Parigi Moutong,2025,2.8
7209,Kab. Tojo Una-Una,2015,2.6
7209,Kab. Tojo Una-Una,2016,2.8
7209,Kab. Tojo Una-Una,2017,3.0
7209,Kab. Tojo Una-Una,2018,2.6
7209,Kab. Tojo Una-Una,2019,2.8
7209,Kab. Tojo Una-Una,2020,2.0
7209,Kab. Tojo Una-Una,2021,2.6
7209,Kab. Tojo Una-Una,2022,4.0
7209,Kab. Tojo Una-Una,2023,3.0
7209,Kab. Tojo Una-Una,2024,2.6
7209,Kab. Tojo Una-Una,2025,2.8
7210,Kab. Sigi,2015,2.6
7210,Kab. Sigi,2016,2.8
7210,Kab. Sigi,2017,3.0
7210,Kab. Sigi,2018,2.6
7210,Kab. Sigi,2019,2.8
7210,Kab. Sigi,2020,2.0
7210,Kab. Sigi,2021,2.6
7210,Kab. Sigi,2022,4.0
7210,Kab. Sigi,2023,3.0
7210,Kab. Sigi,2024,2.6
7210,Kab. Sigi,2025,2.8
7211,Kab. Banggai Laut,2015,2.6
7211,Kab. Banggai Laut,2016,2.8
7211,Kab. Banggai Laut,2017,3.0
7211,Kab. Banggai Laut,2018,2.6
7211,Kab. Banggai Laut,2019,2.8
7211,Kab. Banggai Laut,2020,2.0
7211,Kab. Banggai Laut,2021,2.6
7211,Kab. Banggai Laut,2022,4.0
7211,Kab. Banggai Laut,2023,3.0
7211,Kab. Banggai Laut,2024,2.6
7211,Kab. Banggai Laut,2025,2.8
7212,Kab. Morowali Utara,2015,2.6
7212,Kab. Morowali Utara,2016,2.8
7212,Kab. Morowali Utara,2017,3.0
7212,Kab. Morowali Utara,2018,2.6
7212,Kab. Morowali Utara,2019,2.8
7212,Kab. Morowali Utara,2020,2.0
7212,Kab. Morowali Utara,2021,2.6
7212,Kab. Morowali Utara,2022,4.0
7212,Kab. Morowali Utara,2023,3.0
7212,Kab. Morowali Utara,2024,2.6
7212,Kab. Morowali Utara,2025,2.8
