Kode,Wilayah,Tahun,IPM
7206,Kab. Tolitoli,2025,67.4
7207,Kab. Buol,2015,65.2
7207,Kab. Buol,2016,65.62
7207,Kab. Buol,2017,66.04
7207,Kab. Buol,2018,66.46
7207,Kab. Buol,2019,66.88
7207,Kab. Buol,2020,67.1
7207,Kab. Buol,2021,67.72
7207,Kab. Buol,2022,68.14
7207,Kab. Buol,2023,68.56
7207,Kab. Buol,2024,68.98
7207,Kab. Buol,2025,69.4
7208,Kab. Parigi Moutong,2015,63.1
7208,Kab. Parigi Moutong,2016,63.51
7208,Kab. Parigi Moutong,2017,63.92
7208,Kab. Parigi Moutong,2018,64.33
7208,Kab. Parigi Moutong,2019,64.74
7208,Kab. Parigi Moutong,2020,64.95
7208,Kab. Parigi Moutong,2021,65.56
7208,Kab. Parigi Moutong,2022,65.97
7208,Kab. Parigi Moutong,2023,66.38
7208,Kab. Parigi Moutong,2024,66.79
7208,Kab. Parigi Moutong,2025,67.2
7209,Kab. Tojo Una-Una,2015,62.0
7209,Kab. Tojo Una-Una,2016,62.42
7209,Kab. Tojo Una-Una,2017,62.84
7209,Kab. Tojo Una-Una,2018,63.26
7209,Kab. Tojo Una-Una,2019,63.68
7209,Kab. Tojo Una-Una,2020,63.9
7209,Kab. Tojo Una-Una,2021,64.52
7209,Kab. Tojo Una-Una,2022,64.94
7209,Kab. Tojo Una-Una,2023,65.36
7209,Kab. Tojo Una-Una,2024,65.78
7209,Kab. Tojo Una-Una,2025,66.2
7210,Kab. Sigi,2015,65.5
7210,Kab. Sigi,2016,65.94
7210,Kab. Sigi,2017,66.38
7210,Kab. Sigi,2018,66.82
7210,Kab. Sigi,2019,67.26
7210,Kab. Sigi,2020,67.5
7210,Kab. Sigi,2021,68.14
7210,Kab. Sigi,2022,68.58
7210,Kab. Sigi,2023,69.02
7210,Kab. Sigi,2024,69.46
7210,Kab. Sigi,2025,69.9
7211,Kab. Banggai Laut,2015,62.2
7211,Kab. Banggai Laut,2016,62.63
7211,Kab. Banggai Laut,2017,63.06
7211,Kab. Banggai Laut,2018,63.49
7211,Kab. Banggai Laut,2019,63.92
7211,Kab. Banggai Laut,2020,64.15
7211,Kab. Banggai Laut,2021,64.78
7211,Kab. Banggai Laut,2022,65.21
7211,Kab. Banggai Laut,2023,65.64
7211,Kab. Banggai Laut,2024,66.07
7211,Kab. Banggai Laut,2025,66.5
7212,Kab. Morowali Utara,2015,65.0
7212,Kab. Morowali Utara,2016,65.54
7212,Kab. Morowali Utara,2017,66.08
7212,Kab. Morowali Utara,2018,66.62
7212,Kab. Morowali Utara,2019,67.16
7212,Kab. Morowali Utara,2020,67.5
7212,Kab. Morowali Utara,2021,68.24
7212,Kab. Morowali Utara,2022,68.78
7212,Kab. Morowali Utara,2023,69.32
7212,Kab. Morowali Utara,2024,69.86
7212,Kab. Morowali Utara,2025,70.4
