Kode,Wilayah,Tahun,Kemiskinan_Persen
7207,Kab. Buol,2019,15.38
7207,Kab. Buol,2020,15.6
7207,Kab. Buol,2021,14.82
7207,Kab. Buol,2022,14.54
7207,Kab. Buol,2023,14.26
7207,Kab. Buol,2024,13.98
7207,Kab. Buol,2025,13.7
7208,Kab. Parigi Moutong,2015,17.2
7208,Kab. Parigi Moutong,2016,16.91
7208,Kab. Parigi Moutong,2017,16.62
7208,Kab. Parigi Moutong,2018,16.33
7208,Kab. Parigi Moutong,2019,16.04
7208,Kab. Parigi Moutong,2020,16.25
7208,Kab. Parigi Moutong,2021,15.46
7208,Kab. Parigi Moutong,2022,15.17
7208,Kab. Parigi Moutong,2023,14.88
7208,Kab. Parigi Moutong,2024,14.59
7208,Kab. Parigi Moutong,2025,14.3
7209,Kab. Tojo Una-Una,2015,18.5
7209,Kab. Tojo Una-Una,2016,18.24
7209,Kab. Tojo Una-Una,2017,17.98
7209,Kab. Tojo Una-Una,2018,17.72
7209,Kab. Tojo Una-Una,2019,17.46
7209,Kab. Tojo Una-Una,2020,17.7
7209,Kab. Tojo Una-Una,2021,16.94
7209,Kab. Tojo Una-Una,2022,16.68
7209,Kab. Tojo Una-Una,2023,16.42
7209,Kab. Tojo Una-Una,2024,16.16
7209,Kab. Tojo Una-Una,2025,15.9
7210,Kab. Sigi,2015,14.8
7210,Kab. Sigi,2016,14.52
7210,Kab. Sigi,2017,14.24
7210,Kab. Sigi,2018,13.96
7210,Kab. Sigi,2019,13.68
7210,Kab. Sigi,2020,13.9
7210,Kab. Sigi,2021,13.12
7210,Kab. Sigi,2022,12.84
7210,Kab. Sigi,2023,12.56
7210,Kab. Sigi,2024,12.28
7210,Kab. Sigi,2025,12.0
7211,Kab. Banggai Laut,2015,16.8
7211,Kab. Banggai Laut,2016,16.51
7211,Kab. Banggai Laut,2017,16.22
7211,Kab. Banggai Laut,2018,15.93
7211,Kab. Banggai Laut,2019,15.64
7211,Kab. Banggai Laut,2020,15.85
7211,Kab. Banggai Laut,2021,15.06
7211,Kab. Banggai Laut,2022,14.77
7211,Kab. Banggai Laut,2023,14.48
7211,Kab. Banggai Laut,2024,14.19
7211,Kab. Banggai Laut,2025,13.9
7212,Kab. Morowali Utara,2015,16.0
7212,Kab. Morowali Utara,2016,15.68
7212,Kab. Morowali Utara,2017,15.36
7212,Kab. Morowali Utara,2018,15.04
7212,Kab. Morowali Utara,2019,14.72
7212,Kab. Morowali Utara,2020,14.9
7212,Kab. Morowali Utara,2021,14.08
7212,Kab. Morowali Utara,2022,13.76
7212,Kab. Morowali Utara,2023,13.44
7212,Kab. Morowali Utara,2024,13.12
7212,Kab. Morowali Utara,2025,12.8
