Kode,Wilayah,Tahun,NTP
7204,Kab. Poso,2025,111.8
7205,Kab. Donggala,2015,104.5
7205,Kab. Donggala,2016,104.4
7205,Kab. Donggala,2017,105.3
7205,Kab. Donggala,2018,105.2
7205,Kab. Donggala,2019,106.1
7205,Kab. Donggala,2020,106.0
7205,Kab. Donggala,2021,106.9
7205,Kab. Donggala,2022,106.8
7205,Kab. Donggala,2023,107.7
7205,Kab. Donggala,2024,107.6
7205,Kab. Donggala,2025,108.5
7206,Kab. Tolitoli,2015,106.1
7206,Kab. Tolitoli,2016,106.0
7206,Kab. Tolitoli,2017,106.9
7206,Kab. Tolitoli,2018,106.8
7206,Kab. Tolitoli,2019,107.7
7206,Kab. Tolitoli,2020,107.6
7206,Kab. Tolitoli,2021,108.5
7206,Kab. Tolitoli,2022,108.4
7206,Kab. Tolitoli,2023,109.3
7206,Kab. Tolitoli,2024,109.2
7206,Kab. Tolitoli,2025,110.1
7207,Kab. Buol,2015,105.3
7207,Kab. Buol,2016,105.2
7207,Kab. Buol,2017,106.1
7207,Kab. Buol,2018,106.0
7207,Kab. Buol,2019,106.9
7207,Kab. Buol,2020,106.8
7207,Kab. Buol,2021,107.7
7207,Kab. Buol,2022,107.6
7207,Kab. Buol,2023,108.5
7207,Kab. Buol,2024,108.4
7207,Kab. Buol,2025,109.3
7208,Kab. Parigi Moutong,2015,108.8
7208,Kab. Parigi Moutong,2016,108.7
7208,Kab. Parigi Moutong,2017,109.6
7208,Kab. Parigi Moutong,2018,109.5
7208,Kab. Parigi Moutong,2019,110.4
7208,Kab. Parigi Moutong,2020,110.3
7208,Kab. Parigi Moutong,2021,111.2
7208,Kab. Parigi Moutong,2022,111.1
7208,Kab. Parigi Moutong,2023,112.0
7208,Kab. Parigi Moutong,2024,111.9
7208,Kab. Parigi Moutong,2025,112.8
7209,Kab. Tojo Una-Una,2015,104.8
7209,Kab. Tojo Una-Una,2016,104.7
7209,Kab. Tojo Una-Una,2017,105.6
7209,Kab. Tojo Una-Una,2018,105.5
7209,Kab. Tojo Una-Una,2019,106.4
7209,Kab. Tojo Una-Una,2020,106.3
7209,Kab. Tojo Una-Una,2021,107.2
7209,Kab. Tojo Una-Una,2022,107.1
7209,Kab. Tojo Una-Una,2023,108.0
7209,Kab. Tojo Una-Una,2024,107.9
7209,Kab. Tojo Una-Una,2025,108.8
7210,Kab. Sigi,2015,110.1
7210,Kab. Sigi,2016,110.0
7210,Kab. Sigi,2017,110.9
7210,Kab. Sigi,2018,110.8
7210,Kab. Sigi,2019,111.7
7210,Kab. Sigi,2020,111.6
7210,Kab. Sigi,2021,112.5
7210,Kab. Sigi,2022,112.4
7210,Kab. Sigi,2023,113.3
7210,Kab. Sigi,2024,113.2
7210,Kab. Sigi,2025,114.1
7211,Kab. Banggai Laut,2015,103.8
7211,Kab. Banggai Laut,2016,103.7
7211,Kab. Banggai Laut,2017,104.6
7211,Kab. Banggai Laut,2018,104.5
7211,Kab. Banggai Laut,2019,105.4
7211,Kab. Banggai Laut,2020,105.3
7211,Kab. Banggai Laut,2021,106.2
7211,Kab. Banggai Laut,2022,106.1
7211,Kab. Banggai Laut,2023,107.0
7211,Kab. Banggai Laut,2024,106.9
7211,Kab. Banggai Laut,2025,107.8
7212,Kab. Morowali Utara,2015,112.3
7212,Kab. Morowali Utara,2016,112.2
7212,Kab. Morowali Utara,2017,113.1
7212,Kab. Morowali Utara,2018,113.0
7212,Kab. Morowali Utara,2019,113.9
7212,Kab. Morowali Utara,2020,113.8
7212,Kab. Morowali Utara,2021,114.7
7212,Kab. Morowali Utara,2022,114.6
7212,Kab. Morowali Utara,2023,115.5
7212,Kab. Morowali Utara,2024,115.4
7212,Kab. Morowali Utara,2025,116.3
