Kode,Wilayah,Tahun,Penduduk_Ribu
7206,Kab. Tolitoli,2020,222.6
7206,Kab. Tolitoli,2021,224.2
7206,Kab. Tolitoli,2022,225.8
7206,Kab. Tolitoli,2023,227.3
7206,Kab. Tolitoli,2024,228.9
7206,Kab. Tolitoli,2025,230.5
7207,Kab. Buol,2015,140.0
7207,Kab. Buol,2016,141.1
7207,Kab. Buol,2017,142.2
7207,Kab. Buol,2018,143.4
7207,Kab. Buol,2019,144.5
7207,Kab. Buol,2020,145.7
7207,Kab. Buol,2021,146.9
7207,Kab. Buol,2022,148.0
7207,Kab. Buol,2023,149.2
7207,Kab. Buol,2024,150.4
7207,Kab. Buol,2025,151.6
7208,Kab. Parigi Moutong,2015,415.0
7208,Kab. Parigi Moutong,2016,418.3
7208,Kab. Parigi Moutong,2017,421.7
7208,Kab. Parigi Moutong,2018,425.0
7208,Kab. Parigi Moutong,2019,428.4
7208,Kab. Parigi Moutong,2020,431.9
7208,Kab. Parigi Moutong,2021,435.3
7208,Kab. Parigi Moutong,2022,438.8
7208,Kab. Parigi Moutong,2023,442.3
7208,Kab. Parigi Moutong,2024,445.9
7208,Kab. Parigi Moutong,2025,449.4
7209,Kab. Tojo Una-Una,2015,150.0
7209,Kab. Tojo Una-Una,2016,151.6
7209,Kab. Tojo Una-Una,2017,153.3
7209,Kab. Tojo Una-Una,2018,155.0
7209,Kab. Tojo Una-Una,2019,156.7
7209,Kab. Tojo Una-Una,2020,158.4
7209,Kab. Tojo Una-Una,2021,160.2
7209,Kab. Tojo Una-Una,2022,161.9
7209,Kab. Tojo Una-Una,2023,163.7
7209,Kab. Tojo Una-Una,2024,165.5
7209,Kab. Tojo Una-Una,2025,167.3
7210,Kab. Sigi,2015,240.0
7210,Kab. Sigi,2016,242.4
7210,Kab. Sigi,2017,244.8
7210,Kab. Sigi,2018,247.3
7210,Kab. Sigi,2019,249.7
7210,Kab. Sigi,2020,252.2
7210,Kab. Sigi,2021,254.8
7210,Kab. Sigi,2022,257.3
7210,Kab. Sigi,2023,259.9
7210,Kab. Sigi,2024,262.5
7210,Kab. Sigi,2025,265.1
7211,Kab. Banggai Laut,2015,66.0
7211,Kab. Banggai Laut,2016,66.7
7211,Kab. Banggai Laut,2017,67.3
7211,Kab. Banggai Laut,2018,68.0
7211,Kab. Banggai Laut,2019,68.7
7211,Kab. Banggai Laut,2020,69.4
7211,Kab. Banggai Laut,2021,70.1
7211,Kab. Banggai Laut,2022,70.8
7211,Kab. Banggai Laut,2023,71.5
7211,Kab. Banggai Laut,2024,72.2
7211,Kab. Banggai Laut,2025,72.9
7212,Kab. Morowali Utara,2015,110.0
7212,Kab. Morowali Utara,2016,113.4
7212,Kab. Morowali Utara,2017,116.9
7212,Kab. Morowali Utara,2018,120.6
7212,Kab. Morowali Utara,2019,124.3
7212,Kab. Morowali Utara,2020,128.1
7212,Kab. Morowali Utara,2021,132.1
7212,Kab. Morowali Utara,2022,136.2
7212,Kab. Morowali Utara,2023,140.4
7212,Kab. Morowali Utara,2024,144.8
7212,Kab. Morowali Utara,2025,149.3
